,map_id,plays,difficulty,duration,density,genre,artist_popularity,release_year,rhythm_sync,pattern_readability,design_creativity,style_consistency,mapper_reputation,map_status,tournament_usage,collaborations
0,0,3,0.699804059011752,175.07725954947045,0.6009595999955561,metal,0.5794187771796061,2020,0.47314727834376846,0.5770580118005033,0.4032447388513668,0.7980930427392824,0.7150251585111055,0.6024366281344549,0.402165977954935,0.3226804872161173
1,1,1,0.2149107676639917,182.89446133988005,0.6396486888519122,pop,0.2813797928060475,2011,0.9067361588148266,0.7802609803426224,0.5377791737188671,0.4477250666574533,0.6432990605841556,0.3573620122279735,0.21389545930681875,0.27247347946992895
2,2,4,0.24536871486253353,184.2238905992388,0.39818898220593824,classical,0.45099093021224734,2023,0.5760286303220484,0.7091499199688764,0.7891400016472229,0.8866880095674128,0.6188122448705751,0.2335262188535267,-0.004010371792949163,0.4535158185809649
3,3,0,0.2992477614570276,200.28235520217353,0.7414883965121069,rock,0.5534544796043486,2007,0.8417281318897867,0.5959465082224235,0.4744052069011123,0.43664246079789754,0.49572923717562256,0.6145130204485116,0.17536879225916396,0.47822128064073416
4,4,2,0.4648620403183317,145.42284588291497,0.393619276239306,rock,0.16169486456228088,2008,0.4647528396900666,0.5517433948931594,0.8655649861443595,0.4949456778051773,0.7110589384686027,0.7407578815568874,0.22305346514650187,0.4970793142817743
5,5,1,0.4042226372884916,234.12252442761422,0.7065381888535076,electronic,0.6027900775266071,2022,0.6149553614663046,0.6377801714880154,0.5528261378140789,0.8470220142688283,0.2912168436157318,0.5179494104869222,0.1118035466964851,0.43076493426020795
6,6,1,0.6512631362179013,196.25769840529983,0.4180609491253028,hiphop,0.48717191223931405,2007,0.5920776432674286,0.8249866460645658,0.3848904226983185,0.8413797085946958,0.6459362550254261,0.04528525692574065,0.0936725392778327,0.4171052578454842
7,7,2,0.3569806313957113,163.3923736621242,0.5967896199728554,electronic,0.3377449094261981,2011,0.5289292208162748,0.8090139399237766,0.8615917795254393,0.8522719238054643,0.5171120463212858,0.45766044496875724,0.18763154712308083,0.4057916644479538
8,8,4,0.4728486897202354,133.8733661143113,0.7167544222606473,metal,0.7596883147205793,2022,0.7642302513417526,0.5893461066446208,0.6369257442529435,0.7067301497322669,0.2071186874012086,0.0881405811199748,0.48056156411257245,0.3793471137108526
9,9,1,0.34707001176605934,193.0773538345328,0.618648566898192,jazz,0.45712387402007526,2001,0.5030984761276669,0.49929232944993607,0.87207939484286,0.614892624794395,0.4237953124465195,0.645043516111578,0.18747814686247413,0.34280500800636077
10,10,11,0.32487903950007646,166.92580196402426,0.4013682465329383,metal,0.2526052113230592,2013,1.0206574113174607,0.8408795356199643,0.7116103943744653,0.7269082820523964,0.516833895787827,0.7203718953027525,0.20560159357286412,0.36071076102015703
11,11,18,0.5928279678230299,196.07002540977055,0.3981520548566277,electronic,0.18752705525183844,2014,0.47041584142248016,0.5590229574396075,1.0398898143807944,0.8412082182829236,0.5507817700243667,0.4298048691226538,0.4334574947071168,0.3839790259790292
12,12,0,0.27959278582064795,127.27449675394047,0.41948783463669115,electronic,0.4415587169364916,2012,0.6026315181828823,0.5719466174923544,0.9559414230302725,0.5357459108894208,0.42406899694548084,0.6629870506442195,0.3733167963887209,0.3500917927723004
13,13,0,0.45677229417301907,200.42749110555346,0.6328300756470422,jazz,0.1086553189684874,2011,0.8645168313710421,0.6595765639123667,0.48751650449642303,0.712480513736219,0.770337262595963,0.5528761642644842,0.32357580632474414,0.4031190784206659
14,14,2,0.689135562190198,191.15302717462978,0.4093730301871687,hiphop,0.15038978415465698,2003,0.6345678276260711,0.8671062989098648,0.6065727477849782,0.6910807786829941,0.6614314484957704,0.16883902960919872,0.22555157823215005,0.22339890474073898
15,15,2,0.15468777308964066,137.70505025250264,0.48848224128057544,pop,0.3123921897819639,2010,0.5335097431817105,0.47370902178695684,1.0163283621876114,0.7976895322902945,0.25410581109900654,0.5855865786281926,0.3000107500723269,0.19909586238030363
16,16,0,0.7316363183492992,217.71298392813992,0.37038486027535833,classical,0.5988934629464939,2009,0.3587412330402558,0.4567731063525875,0.5274814374164478,0.5660746614976256,0.7500387812184783,0.13324390244553558,0.2785846154312952,0.23770407321131448
17,17,14,0.4135070102882738,181.30677585079528,0.5217450147930929,rock,0.5584708082746171,2015,0.49116534060610517,0.636344185006529,0.44336804879778363,0.8946287382689414,0.4517906269003954,0.39925769138083156,0.49902786522001885,0.41810041311657464
18,18,5,0.8169932228405734,181.73959759771319,0.34675657514415104,pop,0.43173235869664245,2007,0.5064363143406045,0.46929966671565765,0.45132663049257804,0.8422169490905173,0.693284182249905,0.2825574041210007,0.22057298166670636,0.43272874182870324
19,19,1,0.6347854133032776,163.02298682948788,0.5605127802222267,hiphop,0.7697380009656054,2004,0.7074374412047609,0.5664502293668647,0.3523605674532614,0.6542504220933586,0.5744043695928133,0.4186762973402,0.40051677158339277,0.3758917262408178
20,20,0,0.6623388122648778,147.6589330132141,0.581252896903281,rock,0.43678598870314067,2009,0.8213881309282028,0.6618044623719376,0.21510048516559782,0.796342713245149,0.6707063066717951,0.8041545285315744,0.32526001392128334,0.13375079006843024
21,21,0,0.17991914134537113,175.72067965036814,0.5146074210368222,electronic,0.5237073442714826,2016,0.6919270515273209,0.7853516097634035,0.3520403623698555,0.38050588893108245,0.4046565277470297,0.28575971425551966,-0.07162379751025022,0.390801327926339
22,22,4,0.20218041628767414,131.68185569880134,0.6014810095006149,classical,0.3442146452484708,2008,0.8408729915198906,0.7906116515937842,0.5396090578504753,0.62484658782906,0.4623597237191864,0.7139418503234305,0.35943812872986525,0.3731439728812149
23,23,1,0.10322911448224792,211.99475329301745,0.5613922946901653,jazz,0.467669897846711,2021,0.6746598690170071,0.7696197446306013,0.6649208649640439,0.6212768619284937,0.2752362160428105,0.4378672041687064,0.3373838945536413,0.1637492539569411
24,24,6,0.6662269729269203,199.3109836626287,0.45030041891646866,classical,0.27746154518077376,2000,0.7024443599185827,0.8987057363671206,0.789165840365193,0.5140169089129712,0.4200774077875197,0.7458396006099436,0.2987529883443626,0.13334271847101978
25,25,7,0.48188229044419095,192.64726642015745,0.4501098817638904,rock,0.595881135652313,2009,0.7482690315792112,0.8003631221942548,0.6878206276921863,0.9945526761145647,0.6523523927403424,0.39602879705869454,0.11677179995798506,0.434784163907726
26,26,1,0.36949216041605676,157.55857936550092,0.23394055437864375,electronic,0.15222535414133054,2006,0.7268053987254582,0.6813424014171963,0.2632396579590225,0.7090096406531556,0.549039028493723,0.4933930819994114,0.18562885979665053,0.4914833374420803
27,27,1,0.48031735678045695,169.9581149541417,0.37475309290126557,classical,0.5808794229771095,2007,0.36207805881856703,0.7057590358357199,0.29451524228064574,0.8246457984113109,0.3637839536576419,0.6652724401137542,0.230046542295302,0.06473893830118554
28,28,0,0.6187479212974549,188.59359025123408,0.1377732903653372,hiphop,0.5219988973142249,2016,0.5801618049390884,0.8115228159396329,0.5361379160636413,0.6628760695556927,0.5072330804417768,0.60511879631801,0.3385618805968436,0.20434469169950548
29,29,1,0.5496931339149737,159.4098695087542,0.3016748882170487,classical,0.44303223065756375,2015,0.619004430917926,0.7610304951391126,0.32218075535158625,0.6396159038361113,0.5668023401397924,0.7116156129675182,0.2118053621781188,0.5283421963063203
30,30,7,0.6600331646335548,156.3594189227457,0.7081692100380145,electronic,0.53951446693792,2010,0.8382604123395747,0.7717379001984691,0.6973690802597505,0.4774157627016612,0.8659064046026199,0.5449965010120403,0.27215747412371444,0.6022778990011404
31,31,1,0.3189348125695951,162.40865311064184,0.6935082670590397,metal,0.4677091648195612,2019,0.7504760241599796,0.98947295318749,0.4906135364468081,0.5382673480568172,0.5930737722125834,0.7496297095389839,0.2654827331581813,0.3207512137233519
32,32,7,0.632370521942568,157.0067345591887,0.6992852827223207,metal,0.5407288073039276,2010,0.3818096365949476,0.7161212455451277,0.511764951996316,0.7409179300685522,1.0025026396489176,0.5559702814541724,0.5943876154603054,0.47264189639297083
33,33,7,0.6899394842350405,203.3439676770068,0.35013387176111754,rock,0.8873471492433468,2008,0.5180906121736265,0.5933830830839432,0.5058695307346369,0.7943668704846497,0.35671571619785203,0.7923465510293857,0.3359119784366737,0.6138242088446932
34,34,3,0.5241374149270142,203.90893519005596,0.44174448970782815,electronic,0.47817681912501536,2010,0.8680652105664174,0.7314761276205698,0.633707830743795,0.5512585980175322,0.46533989757361577,0.5385981101863455,0.07000360388050603,0.370119957439023
35,35,1,0.7566730148473995,226.2376199651465,0.1177939313944158,classical,0.5045663950848526,2015,0.8960824032903902,0.8368799471544013,0.4058175388132327,0.5533851766276803,0.5491240554719817,0.4500546283037637,-0.1543385941570991,0.34490710906285044
36,36,1,0.4921889982263957,136.48732716506322,0.5077456282601293,pop,0.3733239572105267,2004,0.8176551513514594,0.5606275321494683,0.4752975730041639,0.7159288141653649,0.32410597525635954,0.6163191596930407,0.4748877129291734,0.4589921745744474
37,37,0,0.3974235793467334,131.8328394467261,0.5342484427866352,hiphop,0.5660458917523542,2019,0.7754214834845888,0.5528051289294409,0.45499170087657326,0.9071764506790365,0.5864404708796813,0.5496622481237431,0.22465242204519098,0.1797034133885015
38,38,4,0.5141389341771334,170.84210454781427,0.09222918838091904,jazz,0.5078957569559377,2006,0.7325530934493595,0.4840291601900963,0.7141341110264988,0.6794117543104516,0.8998139596795411,0.6065976479206617,0.2915247284145118,0.5211931761715758
39,39,4,0.3742392916968382,169.78870545988278,0.56793469896891,hiphop,0.3890623007092529,2014,0.5175308856599157,0.44611767593940743,0.21224380964787637,0.7405490204435058,0.69283645091726,0.034767185844051474,0.4660195582477211,0.5843394679844007
40,40,22,0.6031654934380712,170.25201254351427,0.4274640074265466,pop,0.647709625319494,2013,0.7997397740095504,0.7963679865043379,0.6774792845087514,0.9506913548386593,0.5111849298453132,0.8966176236580337,0.27472983434975823,0.3239021789288403
41,41,1,0.6722492968168248,148.9305640687438,0.6001315959410777,metal,0.3813602961484198,2022,0.7346528878167602,0.7465176439819046,0.5198867310659319,0.8808681513183525,0.5420231196515427,0.1080761508537117,0.226724266867679,0.5853743606320542
42,42,0,0.5522932666951739,163.10777861555846,0.45328311433205665,jazz,0.6032888156786609,2007,0.5414281129603077,0.5104136094259337,0.5678363082493392,0.639188630892651,0.5812532418358975,0.7046497109843937,0.23517865602522647,-0.09008089181629675
43,43,1,0.8172011400377905,199.49122477932892,0.7066367045192775,jazz,0.5682592291119873,2001,0.5012091203738849,0.47892481706873763,0.45837110772274126,0.67596359922936,0.6426487933130054,0.6582813116847008,0.2533764098726511,0.28431823471120143
44,44,12,0.7738895856001977,173.8658097407554,0.5032012429025915,pop,-0.12249119867082736,2007,0.9252400793177868,0.6763459090972029,0.4699259038926361,0.5206288622204072,0.20247423516904434,0.2914585520703793,0.24655790492896046,0.21578341692244357
45,45,0,0.39129268614429613,217.56328388153958,0.47799139840703453,pop,0.6072269500301795,2004,0.639565338415952,0.5477514119511292,0.6112943602327855,0.733354811421448,0.42730205359412887,0.42134414583760244,0.22311989585907543,0.2516106360637319
46,46,2,0.5403101619605072,233.4341267049519,0.6318255431415415,jazz,0.9877569694420645,2007,0.7412407179926175,0.6581029422524627,0.7856452395472299,0.3306683965413729,0.7561034029512445,0.2701684919487057,0.36846470402926057,0.5481113875890948
47,47,9,0.9774814517955195,155.46061126116223,0.34336134272514707,metal,0.8290805625550287,2019,0.7340219790747962,0.589008734856753,0.20850084707276023,0.6787066906346069,0.567562251442657,0.5279670283549657,0.4946047025261405,0.588739654639939
48,48,4,0.6867159786300716,173.8692293296274,0.5064314802155079,classical,0.8106920465730807,2000,0.7940020416127994,0.6886301258792851,0.48757376248505185,0.4489776783879637,0.4404593323323849,0.358090503501024,0.48814368526834107,0.22992321238578195
49,49,3,0.8180543160763325,176.76748209790054,0.18691503885035743,classical,0.43287893378042974,2022,0.7313706483566426,0.8130690631340082,0.5676195881497925,0.7943096010669491,0.2151921039313459,0.37700065685836637,0.34974011913222874,0.37180952978988024
50,50,8,0.6109573425416367,176.79313757559655,0.6833172332922448,jazz,0.10439618327606592,2021,0.8112424472316855,0.3331303164327709,0.6593400237930847,0.6711564581363241,0.654971684974383,0.5342189291107076,0.2888470476719323,0.22629411262953397
51,51,0,0.2634714895030733,216.9827727006819,0.613094858611319,rock,0.6566283596389064,2007,0.7435269703252575,0.9515632285727551,0.6021974031113865,0.5382437839292465,0.6313287319601519,0.5153702131592914,0.27710580436036375,0.4317778584582398
52,52,17,0.6571919067642981,181.91772346559338,0.4161365224336183,electronic,0.7184363025405504,2015,0.5266258012515318,0.7340714313654572,0.8529709291543655,0.6247841824637326,0.4884439680877116,0.8988596858229069,0.4896310781652862,0.3412229690522824
